airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,1,5953
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,139.8,1,5953
AirAsia,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,130.2,1,5956
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,135.0,1,5955
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,139.8,1,5955
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,139.8,1,5955
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,124.8,1,6060
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,130.2,1,6060
GO FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,1,5954
GO FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,135.0,1,5954
GO FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,135.0,1,5954
GO FIRST,Delhi,Morning,zero,Afternoon,Mumbai,Economy,139.8,1,5954
Indigo,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,1,5955
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,130.2,1,5955
Indigo,Delhi,Afternoon,zero,Evening,Mumbai,Economy,135.0,1,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,139.8,1,5955
Air India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,124.8,1,5955
Air India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,1,5955
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,735.0,1,5949
AirAsia,Delhi,Evening,one,Morning,Mumbai,Economy,979.8,1,5949
GO FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,705.0,1,5954
GO FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,870.0,1,5954
GO FIRST,Delhi,Evening,one,Morning,Mumbai,Economy,940.2,1,5954
Air India,Delhi,Evening,one,Night,Mumbai,Economy,225.0,1,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,150.0,1,6165
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,130.2,1,6690
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,130.2,1,6585
AirAsia,Delhi,Morning,one,Afternoon,Mumbai,Economy,349.8,1,8869
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,139.8,1,10260
Indigo,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,1,10470
GO FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,480.0,1,10575
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,360.0,1,10838
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,880.2,1,12150
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,970.2,1,12150
Vistara,Delhi,Afternoon,one,Morning,Mumbai,Economy,1080.0,1,12150
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,1390.2,1,12150
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,1450.2,1,12150
